OtherPlace_ID,OtherPlace_Name,OtherPlace_Type,OtherPlace_City,OtherPlace_Region
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111129,Palazzo comunale,Villa o Palazzo di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cesena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/139242,Parco archeologico del Colosseo - Tempio di Romolo,Monumento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106464,Chiesa di San Giovanni in Tuba,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Duino-Aurisina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20167,Parco archeologico di Iuvanum,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Montenerodomo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102920,Cripta di Santa Reparata,Chiesa o edificio di culto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105822,"Istituto Istruzione Superiore di Stato ""Umberto I""",Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Alba,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107972,Teatro comunale di Cesenatico,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cesenatico,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/7184,Area archeologica di Tamuli,Area Archeologica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Macomer,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110973,Parco archeologico di Broglio,Parco o Giardino di interesse storico o artistico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Trebisacce,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107216,Fortezza del Priamar,Architettura Fortificata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Savona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107908,Teatro De Micheli,Architettura Civile,http://dati.beniculturali.it/mibact/luoghi/resource/City/Copparo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna
