Museum_ID,Museum_Name,Museum_City,Museum_Region,Museum_Latitude,Museum_Longitude
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106442,"Museo del Risorgimento, Rocca e Ossario di Solferino",http://dati.beniculturali.it/mibact/luoghi/resource/City/Solferino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.37303,10.566523
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103300,Museo del Santuario di Nostra Signora di Bonaria,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,39.208027,9.12561
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103459,Museo del Molino Galleu,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ozieri,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,40.589626,9.000471
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106428,Galleria Museo Valenti Gonzaga,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.153637,10.793995
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103523,Maglio museo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ponte_Nossa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.870293,9.884213
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107142,Museo del costume Arberesh,http://dati.beniculturali.it/mibact/luoghi/resource/City/Frascineto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,39.83138,16.256123
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106563,Grotte di Catullo e Museo archeologico di Sirmione,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sirmione,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.501453,10.606448
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104945,Museo diocesano di arte sacra di Nusco,http://dati.beniculturali.it/mibact/luoghi/resource/City/Nusco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.887768,15.084636
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102159,Museo gli Orsanti,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vernasca,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.84872,9.87256
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104319,"Museo archeologico ""Tifernum Mataurense""",http://dati.beniculturali.it/mibact/luoghi/resource/City/Sant_Angelo_in_Vado,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.666393,12.416167
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102950,Museo di Palazzo Vecchio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.769253,11.255596
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108274,Museo Castello ducale di Corigliano Calabro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Corigliano_Calabro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,39.594185,16.520102
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103744,Museo di Palazzo Te,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.146954,10.7888
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108442,Ecomuseo del vino e della civiltà contadina,http://dati.beniculturali.it/mibact/luoghi/resource/City/Verbicaro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,39.75689,15.912051
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102065,Casa museo Remo Brindisi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Comacchio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.65114,12.249218
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111563,"Parco archeologico dei Dauni e Museo archeologico ""Pasquale Rosario""",http://dati.beniculturali.it/mibact/luoghi/resource/City/Ascoli_Satriano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,41.203342,15.562745
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106440,Museo etnografico dei mestieri del Fiume di Rivalta sul Mincio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rodigo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.17877,10.681659
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106419,Casa museo Palazzo Bondoni Pastorio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castiglione_delle_Stiviere,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.391457,10.488544
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20165,Museo e Parco archeologico nazionale di Scolacium,http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.81204,16.591545
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110151,Casa museo di Niccolo' Machiavelli,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Casciano_in_Val_di_Pesa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.682747,11.197732
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105811,CISMUS - Centro Interdipartimentale di Servizi per la Museologia Scientifica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Puglia,41.11201,16.880518
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100821,Eco museo di Champorcher,http://dati.beniculturali.it/mibact/luoghi/resource/City/Champorcher,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Valle_d_Aosta_Vallee_d_Aoste,45.738888,7.426187
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100204,"Museo centrale di Malnisio, nuovo centro",http://dati.beniculturali.it/mibact/luoghi/resource/City/Montereale_Valcellina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.14357,12.633345
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20311,Museo archeologico nazionale e zona archeologica di Luni,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ortonovo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,44.06376,10.017087
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20667,Museo e Parco archeologico dell'Antica Kaulon,http://dati.beniculturali.it/mibact/luoghi/resource/City/Monasterace,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.446354,16.57791
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106571,Museo dell’orologio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bisacquino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,37.705112,13.259024
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104248,Museo archeologico dell’Abbazia di Santa Maria di Chiaravalle di Fiastra,http://dati.beniculturali.it/mibact/luoghi/resource/City/Tolentino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.21361,13.291111
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20026,Museo storico della miniera di salgemma di Lungro - Muzeu historik i Salinisë së Ungrës,http://dati.beniculturali.it/mibact/luoghi/resource/City/Lungro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,39.739326,16.125565
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100608,Museo etnografico di Maso Spilzi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Folgaria,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,45.91571,11.171807
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20276,Parco archeologico di Paestum e Velia - Museo archeologico nazionale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Capaccio_Paestum,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.42339,15.006858
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103462,"Museo diocesano - Sacristia ""S. Maria degli Angeli""",http://dati.beniculturali.it/mibact/luoghi/resource/City/Perfugas,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,40.834557,8.883925
