Museum_ID,Museum_Name,Museum_City,Museum_Region,Museum_Latitude,Museum_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106417,Museo armi antiche Fosco Baboni,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellucchio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.149033,10.64564,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101600,Piccolo museo delle anime del Purgatorio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.90413,12.46242,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104164,Museo del Convento di Santa Chiara,http://dati.beniculturali.it/mibact/luoghi/resource/City/Camerino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.139618,13.073348,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101180,Castello normanno - Museo civico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Aci_Castello,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,37.555782,15.148047,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102098,Castello di Spezzano e Museo della Ceramica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Fiorano_Modenese,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.52156,10.846728,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/107885,Museo della Musica e Teatro comunale Alice Zeppilli,http://dati.beniculturali.it/mibact/luoghi/resource/City/Pieve_di_Cento,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.713665,11.306763,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100394,Museo della cultura contadina Alta Val Trebbia,http://dati.beniculturali.it/mibact/luoghi/resource/City/Montebruno,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,44.526722,9.248777,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100317,Museo archeologico naturalistico di Tarcento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Tarcento,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.21669,13.221547,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104283,Museo della Collegiata di Mercatello sul Metauro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mercatello_sul_Metauro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.647373,12.336602,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111026,"Museo e Parco archeologico ""Archeoderi"" di Bova Marina",http://dati.beniculturali.it/mibact/luoghi/resource/City/Bova_Marina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,37.92375,15.951917,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103300,Museo del Santuario di Nostra Signora di Bonaria,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,39.208027,9.12561,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103523,Maglio museo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ponte_Nossa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.870293,9.884213,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104945,Museo diocesano di arte sacra di Nusco,http://dati.beniculturali.it/mibact/luoghi/resource/City/Nusco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,40.887768,15.084636,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100204,"Museo centrale di Malnisio, nuovo centro",http://dati.beniculturali.it/mibact/luoghi/resource/City/Montereale_Valcellina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.14357,12.633345,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/141887,Museo di paesaggi e narrazioni (SMO - Slovensko multimedialno okno),http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Pietro_al_Natisone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Friuli-Venezia_Giulia,46.12693,13.485172,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101946,Museo di San Domenico di Bologna,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.489765,11.343967,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101557,Museo delle mura di Roma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.873665,12.501464,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111210,Museo parrocchiale d’arte sacra,http://dati.beniculturali.it/mibact/luoghi/resource/City/Bagnara_di_Romagna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.388554,11.826221,Free Entry
