Museum_ID,Museum_Name,Museum_City,Museum_Region,Museum_Latitude,Museum_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20533,Parco Poesia Pascoli - Museo Casa Pascoli,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Mauro_Pascoli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.105186,12.415602,3.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103782,Museo di arte contemporanea Giuseppe e Titina Dal Verme,http://dati.beniculturali.it/mibact/luoghi/resource/City/Zavattarello,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,44.868443,9.266259,2.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20284,Museo delle navi romane di Nemi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Nemi,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.721714,12.701998,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101244,Museo parrocchiale di Castroreale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castroreale,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,38.100582,15.212629,2.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/105549,Parco archeologico e Museo all'aperto della Terramara di Montale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Castelnuovo_Rangone,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.57048,10.905629,7.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106442,"Museo del Risorgimento, Rocca e Ossario di Solferino",http://dati.beniculturali.it/mibact/luoghi/resource/City/Solferino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.37303,10.566523,2.50
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106563,Grotte di Catullo e Museo archeologico di Sirmione,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sirmione,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.501453,10.606448,8.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102159,Museo gli Orsanti,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vernasca,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.84872,9.87256,4.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104319,"Museo archeologico ""Tifernum Mataurense""",http://dati.beniculturali.it/mibact/luoghi/resource/City/Sant_Angelo_in_Vado,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.666393,12.416167,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102950,Museo di Palazzo Vecchio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.769253,11.255596,12.50
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/108274,Museo Castello ducale di Corigliano Calabro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Corigliano_Calabro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,39.594185,16.520102,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103744,Museo di Palazzo Te,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.146954,10.7888,12.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/102065,Casa museo Remo Brindisi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Comacchio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.65114,12.249218,4.50
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106440,Museo etnografico dei mestieri del Fiume di Rivalta sul Mincio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Rodigo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.17877,10.681659,2.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20165,Museo e Parco archeologico nazionale di Scolacium,http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.81204,16.591545,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110151,Casa museo di Niccolo' Machiavelli,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Casciano_in_Val_di_Pesa,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.682747,11.197732,0.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20311,Museo archeologico nazionale e zona archeologica di Luni,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ortonovo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Liguria,44.06376,10.017087,4.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20667,Museo e Parco archeologico dell'Antica Kaulon,http://dati.beniculturali.it/mibact/luoghi/resource/City/Monasterace,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.446354,16.57791,4.00
