Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Barolo,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Barolo,9.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Barumini,10.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bassano_del_Grappa,7.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bassiano,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bazzano,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bellagio,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Belvi,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bentivoglio,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Berceto,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Berchidda,4.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bergamo,10.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bergamo,3.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bergamo,5.00,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bergamo,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bernalda,2.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bertinoro,8.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Besano,4.50,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Besenello,5.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Biandronno,2.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bidoni,3.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Biella,10.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bienno,2.00,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bitonto,6.00,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bitti,2.60,1
