Tavola 4.1 -,,,,,,,,,
,,,,,,,,,
REGIONI E RIPARTIZIONI GEOGRAFICHE                                               ,,Numero,%,,,,,,
,,,,,,,,,
Piemonte,,"1,127",8.3,,,,,,
Valle d'Aosta/Vallée d'Aoste,,58,0.4,,,,,,
Liguria,,401,3.0,,,,,,
Lombardia,,"2,180",16.1,,,,,,
Trentino-Alto Adige,,403,3.0,,,,,,
Bolzano/Bozen,,226,1.7,,,,,,
Trento,,177,1.3,,,,,,
Veneto,,983,7.2,,,,,,
Friuli-Venezia Giulia,,396,2.9,,,,,,
Emilia Romagna,,"1,090",8.0,,,,,,
Toscana,,978,7.2,,,,,,
Umbria,,295,2.2,,,,,,
Marche,,349,2.6,,,,,,
Lazio,,"1,276",9.4,,,,,,
Abruzzo,,250,1.8,,,,,,
Molise,,115,0.8,,,,,,
Campania,,970,7.1,,,,,,
Puglia,,632,4.7,,,,,,
Basilicata,,128,0.9,,,,,,
Calabria,,418,3.1,,,,,,
Sicilia  ,,917,6.8,,,,,,
Sardegna,,613,4.5,,,,,,
,,,0.0,,,,,,
Nord,,"6,638",48.9,,,,,,
Centro,,"2,898",21.3,,,,,,
Mezzogiorno,,"4,043",29.8,,,,,,
,,,,,,,,,
Totale Italia,,"13,579",100.0,,,,,,
,,,,,,,,,
,,,,,,,,,
Fonte: Istituto centrale per il catalogo unico delle biblioteche (Iccu),,,,,,,,,
(a)  I dati riguardano le biblioteche descritte nell’Anagrafe dell’Iccu al 31 dicembre dell'anno di riferimento.,,,,,,,,,
