Archive_City,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Reggio_di_Calabria,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Reggio_nell_Emilia,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Rieti,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Rimini,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ronchi_dei_Legionari,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Rovigo,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Salerno,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Benedetto_del_Tronto,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Sanremo,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Sant_Elpidio_a_Mare,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Sassari,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Savona,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Sciacca,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Siena,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Siracusa,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Sondrio,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Spoleto,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Sulmona,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Taranto,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Teramo,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Terni,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Torino,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Trani,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Trapani,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Trento,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Treviso,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Trieste,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Trivero,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Tropea,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Udine,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Urbino,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Varallo,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Varese,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Venezia,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Ventimiglia,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Verbania,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Vercelli,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Verona,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Vibo_Valentia,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Vicenza,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Vicopisano,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Viterbo,1
