Tavola 2 -,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TIPI DI EDIZIONE,Opere,,,Tiratura,,,,,,,,,,,,
,Numero,%,,Totale,,,"Media 
per opera",,,,,,,,,
,,,,Numero,%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,,,,,,,,
,,   ,,,,,,,,,,,,,,
Prime edizioni,"1,718 ",36.9 ,,9929,39.4 ,,"5,779 ",,,,,,,,,
Edizioni successive,29 ,0.6 ,,67 ,0.3 ,,"2,310 ",,,,,,,,,
Ristampe,"2,912 ",62.5 ,,"15,199 ",60.3 ,,"5,219 ",,,,,,,,,
Totale,"4,659 ",100.0 ,,"25,195 ",100.0 ,,"5,408 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"2,954 ",63.3 ,,"11,104 ",64.4 ,,"3,759 ",,,,,,,,,
Edizioni successive,364 ,7.8 ,,"1,304 ",7.6 ,,"3,582 ",,,,,,,,,
Ristampe,"1,351 ",28.9 ,,"4,824 ",28.0 ,,"3,571 ",,,,,,,,,
Totale,"4,669 ",100.0 ,,"17,232 ",100.0 ,,"3,691 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"33,320 ",64.2 ,,"56,075 ",64.9 ,,"1,683 ",,,,,,,,,
Edizioni successive,"3,127 ",6.0 ,,"8,117 ",9.4 ,,"2,596 ",,,,,,,,,
Ristampe,"15,413 ",29.7 ,,"22,207 ",25.7 ,,"1,441 ",,,,,,,,,
Totale,"51,860 ",100.0 ,,"86,399 ",100.0 ,,"1,666 ",,,,,,,,,
,,,,,,,,,,,,,,,,
TOTALE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"37,992 ",62.1 ,,"77,108 ",59.9 ,,"2,030 ",,,,,,,,,
Edizioni successive,"3,520 ",5.8 ,,"9,488 ",7.4 ,,"2,695 ",,,,,,,,,
Ristampe,"19,676 ",32.2 ,,"42,229 ",32.8 ,,"2,146 ",,,,,,,,,
Totale,"61,188 ",100.0 ,,"128,825 ",100.0 ,,"2,105 ",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,0 ,,,,,,,,,,
,,,,,,0 ,,,,,,,,,,
,,,,,,0 ,,,,,,,,,,
,,,,,,0 ,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
