Entity_ID,Entry_Price
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/111827_Riduzione,1.0
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103378_Base,"5,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/100044_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103601_Riduzione,"3,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/100618_Base,"4,50"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103337_Base,"3,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103298_Riduzione,"2,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/111478_Riduzione,3.0
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/102926_Riduzione,"7,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/101901_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/111653_Base,6.0
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/122726_Base,"3,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/100351_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/20361_Base,"12,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/101555_Base,"7,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/102729_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/106892_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/100427_Riduzione,"6,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/106562_Base,"6,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/20660_Riduzione,"5,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103381_Base,"7,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/100281_Base,"3,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/100554_Riduzione,6.0
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/20716_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/20698_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/101939_Base,"5,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103348_Riduzione,"10,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/108021_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/102496_Base,2.0
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/106916_Riduzione,"4,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/102375_Base,"1,20"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/104168_Base,4.0
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/20521_Riduzione,"12,00"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/102135_Base,"3,50"
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/103555_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/139162_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/106846_Base,Gratuito
http://dati.beniculturali.it/mibact/luoghi/resource/PriceSpecification/106194_Base,Gratuito
