Museum_ID,Museum_Name,Museum_City,Museum_Region,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20276,Parco archeologico di Paestum e Velia - Museo archeologico nazionale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Capaccio_Paestum,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,15.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103530,Museo Casa di Arlecchino,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Giovanni_Bianco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,1.50
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104067,Museo delle armi antiche e della Rocca medievale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Offagna,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103708,Museo della Basilica di Sant'Eustorgio,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,6.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103623,Villa Carlotta - Museo e giardino botanico,http://dati.beniculturali.it/mibact/luoghi/resource/City/Tremezzo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,12.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106432,Museo di Palazzo d’Arco,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mantova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,10.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111580,Museo regionale e Area archeologica della Villa romana del Casale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Piazza_Armerina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,10.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20246,Museo nazionale di Castel Sant'Angelo,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,16.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106327,"Parco archeologico di Pompei - Reggia del Quisisana - Museo Archeologico di Stabia ""Libero D'Orsi""",http://dati.beniculturali.it/mibact/luoghi/resource/City/Castellammare_di_Stabia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Campania,8.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103702,Museo bagatti Valsecchi,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,12.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100065,Museo civico Porta della terra e Parco archeologico del Quadrilatero,http://dati.beniculturali.it/mibact/luoghi/resource/City/San_Salvo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,3.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/104289,Museo di rievocazione storica della Rocca Roveresca,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mondavio,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103670,Ecomuseo della Cascina Grazzanello,http://dati.beniculturali.it/mibact/luoghi/resource/City/Mairago,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,7.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103897,"Museo didattico della riserva - Riserva naturale incisioni rupestri di Ceto, Cimbergo e Paspardo",http://dati.beniculturali.it/mibact/luoghi/resource/City/Ceto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,3.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/106291,Associazione Amici del Museo di scienze naturali Belvi',http://dati.beniculturali.it/mibact/luoghi/resource/City/Belvi,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,3.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103578,Museo Casa del Podestà,http://dati.beniculturali.it/mibact/luoghi/resource/City/Lonato_del_Garda,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,8.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/101397,Museo storico bonifaciano del Lazio meridionale,http://dati.beniculturali.it/mibact/luoghi/resource/City/Anagni,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20751,Abbazia di Pomposa e Museo pomposiano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Codigoro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,5.00
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100068,Palazzo d'Avalos - Musei civici,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vasto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,3.50
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/103420,Museo del cavallino della giara,http://dati.beniculturali.it/mibact/luoghi/resource/City/Genoni,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,3.50
