Archive_ID,Archive_Name,Archive_City,Archive_Region,Archive_Latitude,Archive_Longitude,Ticket_Cost
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/125234,Archivio di Stato di Trento,http://dati.beniculturali.it/mibact/luoghi/resource/City/Trento,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Trentino-Alto_Adige,46.08832,11.109711,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116648,"Archivio di Stato di Bologna, Sezione di Imola",http://dati.beniculturali.it/mibact/luoghi/resource/City/Imola,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.35559,11.711252,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/133053,Archivio centrale dello Stato,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.82904,12.47538,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20710,Archivio di Stato di Ancona. Sede distaccata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Ancona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.595825,13.503158,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116654,Archivio di Stato di Catanzaro,http://dati.beniculturali.it/mibact/luoghi/resource/City/Catanzaro,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,38.90427,16.59281,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/120709,Archivio di Stato di Siena,http://dati.beniculturali.it/mibact/luoghi/resource/City/Siena,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.318954,11.332974,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20682,Archivio di Stato di Roma. Sede distaccata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.902256,12.543108,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/157959,Archivio di Stato di Messina,http://dati.beniculturali.it/mibact/luoghi/resource/City/Messina,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sicilia,41.86956,12.568359,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/135674,Archivio di Stato di Perugia. Sezione di Spoleto,http://dati.beniculturali.it/mibact/luoghi/resource/City/Spoleto,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Umbria,42.73376,12.730961,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110857,Archivio di Stato di Vercelli,http://dati.beniculturali.it/mibact/luoghi/resource/City/Vercelli,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Piemonte,45.32302,8.421451,Free Entry
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/136273,Archivio di Stato dell'Aquila. Sezione di Sulmona,http://dati.beniculturali.it/mibact/luoghi/resource/City/Sulmona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Abruzzo,42.04231,13.927826,Free Entry
