Tavola 2 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi ,,,,,,,,,,,,,,,Tavola 2 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,
"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2015",,,,,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2015",,,,,,,,,,,,
                  (dati in migliaia),,,,,,,,,,,,,,,                  (per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,,,,CLASSI DI ETÀ,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASCHI,,,,,,,,,,,,,,,MASCHI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totale,"29,536","14,347",,"6,159","3,805","2,291","2,091",,,,,,,,Totale,48.6,,20.9,12.9,7.8,7.1,,42.9,26.5,16,14.6,100
,      ,      ,,      ,      ,      ,      ,,,,,,,,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      
MASCHI E FEMMINE,,,,,,,,,,,,,,,MASCHI E FEMMINE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10',"2,882","1,268",,614,317,207,130,,,,,,,,06-10',44,,21.3,11,7.2,4.5,,48.4,25,16.3,10.3,100
11-24',"2,274","1,184",,593,282,173,136,,,,,,,,11-24',52.1,,26.1,12.4,7.6,6,,50,23.8,14.6,11.5,100
15-17                                 ,"1,811",977,,488,244,142,102,,,,,,,,15-17                                 ,53.9,,27,13.5,7.8,5.7,,50,25,14.5,10.5,100
18-19                                 ,"1,240",624,,290,185,76,74,,,,,,,,18-19                                 ,50.3,,23.4,14.9,6.1,6,,46.4,29.6,12.1,11.8,100
20-24                                 ,"2,889","1,413",,642,403,222,146,,,,,,,,20-24                                 ,48.9,,22.2,13.9,7.7,5,,45.5,28.5,15.7,10.3,100
25-34                                 ,"6,868","3,095",,"1,524",782,488,300,,,,,,,,25-34                                 ,45.1,,22.2,11.4,7.1,4.4,,49.2,25.3,15.8,9.7,100
35-44                                 ,"9,061","3,962",,"1,948",980,543,492,,,,,,,,35-44                                 ,43.7,,21.5,10.8,6,5.4,,49.2,24.7,13.7,12.4,100
45-54                                 ,"9,594","4,228",,"1,774","1,207",658,589,,,,,,,,45-54                                 ,44.1,,18.5,12.6,6.9,6.1,,41.9,28.5,15.6,13.9,100
55-59                                 ,"4,004","1,785",,729,417,319,319,,,,,,,,55-59                                 ,44.6,,18.2,10.4,8,8,,40.9,23.4,17.9,17.9,100
60-64                                 ,"3,622","1,537",,607,413,224,293,,,,,,,,60-64                                 ,42.5,,16.8,11.4,6.2,8.1,,39.5,26.9,14.6,19.1,100
65-74                                 ,"6,374","2,343",,961,608,350,424,,,,,,,,65-74                                 ,36.8,,15.1,9.5,5.5,6.7,,41,25.9,14.9,18.1,100
75 e più,"6,653","1,636",,778,343,223,291,,,,,,,,75 e più,24.6,,11.7,5.2,3.4,4.4,,47.6,21,13.7,17.8,100
Totale,"57,272","24,051",,"10,947","6,181","3,624","3,298",,,,,,,,Totale,42,,19.1,10.8,6.3,5.8,,45.5,25.7,15.1,13.7,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: Istat, indagine Aspetti della vita quotidiana, 2015",,,,,,,,,,,,,,,"Fonte: Istat, indagine Aspetti della vita quotidiana, 2015",,,,,,,,,,,,
,,,,,,,,,,,,,,,(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,
,,,,,,,,,,,,,,,(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,
