Tavola 1 - ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",2013,,,,2014,,,,Composizione percentuale 2014,,,Variazione percentuale annua (b),,,,,,,,,,,
,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Fino a 10,00 euro ","16,653","74,859","4,495",,"16,019","66,883","4,175",,27.7,39.8,,2.4,3.3,,,,,,,,,,
"Da 10,01 a 15,00 ","16,139","36,587","2,267",,"14,777","32,359","2,190",,25.6,19.3,,-1.2,-15.0,,,,,,,,,,
"Da 15,01 a 20,00 ","11,467","30,394","2,651",,"10,410","28,631","2,750",,18.0,17.1,,-0.6,5.4,,,,,,,,,,
"Da 20,01 a 30,00","8,923","16,196","1,815",,"8,727","16,222","1,859",,15.1,9.7,,3.2,-14.7,,,,,,,,,,
"Da 30,01 a 50,00","5,015","9,422","1,879",,"4,807","8,181","1,702",,8.3,4.9,,-0.1,-35.7,,,,,,,,,,
"Oltre 50,00","2,250","10,723","4,766",,"2,083","10,780","5,175",,3.6,6.4,,-4.1,-17.1,,,,,,,,,,
Opere gratuite o fuori commercio,"1,316","3,026","2,299",,997,"4,837","4,851",,1.7,2.9,,-19.0,57.6,,,,,,,,,,
Non indicato,203,487,"2,399",,-,-,-,,-,-,,-100.0,-100.0,,,,,,,,,,
Totale,"61,966","181,694","2,932",,"57,820","167,893","2,904",,100.0,100.0,,-0.1,-5.6,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI EDITORE (e),,,,,,,,,,,,,,,,,,,,,,,
Piccoli editori,"3,970","4,727","1,191",,"3,484","5,654","1,623",,6.0,3.4,,3.5,29.0,,,,,,,,,,
Medi editori,"10,799","13,969","1,294",,"10,192","12,793","1,255",,17.6,7.6,,7.6,-29.7,,,,,,,,,,
Grandi editori,"47,197","162,998","3,454",,"44,144","149,446","3,385",,76.3,89.0,,-2.0,-3.8,,,,,,,,,,
Totale,"61,966","181,694","2,932",,"57,820","167,893","2,904",,100.0,100.0,,-0.1,-5.6,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(a) Per l'anno di riferimento 2014, hanno risposto all'indagine l'89,5 per cento degli editori registrati in archivio.",,,,,,,,,,,,,,,,,,,,,,,
(b),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
c) ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(d) Esclusi  i testi  universitari  ed  i  parascolastici, compresi  nelle opere  di varia adulti.",,,,,,,,,,,,,,,,,,,,,,,
(e) ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
