Tavola 1 - ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",2012,,,,2013,,,,Composizione percentuale 2013,,,Variazione percentuale annua (b),,,,,,,,,,,,
,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Oltre 50,00","2,335","9,568","4,098",,"2,250","10,723","4,766",,3.6,5.9,,-1.7,12.8,,,,,,,,,,,
Opere gratuite o fuori commercio,"1,185","3,331","2,811",,"1,316","3,026","2,299",,2.1,1.7,,12.7,-9.7,,,,,,,,,,,
Non indicato,603,907,"1,505",,203,487,"2,399",,0.3,0.3,,-64.7,-45.9,,,,,,,,,,,
Totale,"59,230","179,607","3,036",,"61,966","181,694","2,932",,100.0,100.0,,6.3,2.5,,,,,,,,,,,
  ,,,,,,,,,,,,,,,,,,,,,,,,
TIPI DI EDITORE (e),,,,,,,,,,,,,,,,,,,,,,,,
Piccoli editori,"3,944","5,011","1,271",,"3,970","4,727","1,191",,6.4,2.6,,10.5,10.7,,,,,,,,,,,
Medi editori,"11,237","17,786","1,583",,"10,799","13,969","1,294",,17.4,7.7,,-2.9,-19.2,,,,,,,,,,,
Grandi editori,"44,049","156,810","3,565",,"47,197","162,998","3,454",,76.2,89.7,,8.3,4.6,,,,,,,,,,,
Totale,"59,230","179,607","3,036",,"61,966","181,694","2,932",,100.0,100.0,,6.3,2.5,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"(a) Per l'anno di riferimento 2013, hanno risposto all'indagine il 92,3 per cento degli editori registrati in archivio.",,,,,,,,,,,,,,,,,,,,,,,,
(b),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
c) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"(d) Esclusi  i testi  universitari  ed  i  parascolastici, compresi  nelle opere  di varia adulti.",,,,,,,,,,,,,,,,,,,,,,,,
(e) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
