Tavola 2 -,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TIPI DI EDIZIONE,Opere,,,Tiratura,,,,,,,,,,,,
,Numero,%,,Totale,,,"Media 
per opera",,,,,,,,,
,,,,Numero,%,,,,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,,,,,,,,
,,   ,,,,,,,,,,,,,,
Prime edizioni,"2,197 ",37.0 ,,"15,815 ",39.0 ,,"7,198 ",,,,,,,,,
Edizioni successive,126 ,2.1 ,,477 ,1.2 ,,"3,783 ",,,,,,,,,
Ristampe,"3,614 ",60.9 ,,"24,233 ",59.8 ,,"6,705 ",,,,,,,,,
Totale,"5,937 ",100.0 ,,"40,524 ",100.0 ,,"6,826 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE PER RAGAZZI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"2,903 ",63.8 ,,"14,125 ",57.1 ,,"4,866 ",,,,,,,,,
Edizioni successive,331 ,7.3 ,,"2,333 ",9.4 ,,"7,050 ",,,,,,,,,
Ristampe,"1,316 ",28.9 ,,"8,292 ",33.5 ,,"6,301 ",,,,,,,,,
Totale,"4,550 ",100.0 ,,"24,750 ",100.0 ,,"5,439 ",,,,,,,,,
,,,,,,,,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"33,294 ",68.3 ,,"75,356 ",65.9 ,,"2,268 ",,,,,,,,,
Edizioni successive,"3,073 ",6.3 ,,"8,744 ",7.6 ,,"2,848 ",,,,,,,,,
Ristampe,"12,376 ",25.4 ,,"30,234 ",26.4 ,,"2,443 ",,,,,,,,,
Totale,"48,743 ",100.0 ,,"114,333 ",100.0 ,,"2,349 ",,,,,,,,,
,,,,,,,,,,,,,,,,
TOTALE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prime edizioni,"38,394 ",64.8 ,,"105,295 ",58.6 ,,"2,747 ",,,,,,,,,
Edizioni successive,"3,530 ",6.0 ,,"11,554 ",6.4 ,,"3,276 ",,,,,,,,,
Ristampe,"17,306 ",29.2 ,,"62,758 ",34.9 ,,"3,626 ",,,,,,,,,
Totale,"59,230 ",100.0 ,,"179,607 ",100.0 ,,"3,036 ",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
