Tavola 3 -,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
TIPI DI EDIZIONE,Opere pubblicate,,,Tiratura totale,,,"Tiratura media 
per opera",,
,Numero,%,,Numero,%,,,,
,,,,,,,,,
OPERE SCOLASTICHE,,,,,,,,,
,,   ,,,,,,,
Prime edizioni,"2,761",32.0,,"13,222",27.9,,"4,789",,
Edizioni successive,"1,086",12.6,,"4,086",8.6,,"3,762",,
Ristampe,"4,782",55.4,,"30,058",63.5,,"6,286",,
Totale,"8,629",100.0,,"47,366",100.0,,"5,489",,
,,,,,,,,,
OPERE PER BAMBINI E RAGAZZI,,,,,,,,,
,,,,,,,,,
Prime edizioni,"5,784",53.7,,"24,675",56.3,,"4,343",,
Edizioni successive,"1,257",11.7,,"4,459",10.2,,"3,548",,
Ristampe,"3,738",34.7,,"14,726",33.6,,"3,939",,
Totale,"10,779",100.0,,"43,860",100.0,,"4,108",,
,,,,,,,,,
OPERE DI VARIA ADULTI,,,,,,,,,
,,,,,,,,,
Prime edizioni,"39,116",58.6,,"63,050",59.0,,"1,669",,
Edizioni successive,"2,997",4.5,,"7,959",7.5,,"2,656",,
Ristampe,"24,653",36.9,,"35,777",33.5,,"1,451",,
Totale,"66,766",100.0,,"106,787",100.0,,"1,632",,
,,,,,,,,,
TOTALE,,,,,,,,,
,,,,,,,,,
Prime edizioni,"47,661",55.3,,"100,947",51.0,,"2,184",,
Edizioni successive,"5,340",6.2,,"16,504",8.3,,"3,091",,
Ristampe,"33,173",38.5,,"80,561",40.7,,"2,429",,
Totale,"86,174",100.0,,"198,012",100.0,,"2,337",,
,,,,,,,,,
,,,,,,,,,
"Fonte: Istat, ""Indagine sulla produzione libraria"", anno 2023",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
