Museum_City,Ticket_Cost,Count
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bari,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/City/Baronissi,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Barzio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bedonia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bellaria-Igea_Marina,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Belvedere_Ostrense,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bene_Vagienna,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Benevento,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bentivoglio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Berceto,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bergamo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bertinoro,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bettola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Biassono,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Binasco,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bisaccia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bisegna,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bisignano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bistagno,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bitonto,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Blera,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bobbio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bologna,Free Entry,44
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolognetta,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolognola,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bolzano_Bozen,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bondeno,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bonito,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bordighera,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Boretto,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borghi,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgo_Pace,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgo_San_Dalmazzo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgo_Tossignano,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgoricco,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Borgosesia,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bortigiadas,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bosco_Marengo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Botticino,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bova_Marina,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bovino,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Bracciano,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Breno,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescello,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brescia,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brindisi,Free Entry,3
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brisighella,Free Entry,4
http://dati.beniculturali.it/mibact/luoghi/resource/City/Brosso,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Budrio,Free Entry,5
http://dati.beniculturali.it/mibact/luoghi/resource/City/Buja,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Buonabitacolo,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Busana,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Busseto,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Busto_Arsizio,Free Entry,2
http://dati.beniculturali.it/mibact/luoghi/resource/City/Buttrio,Free Entry,1
http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,Free Entry,6
http://dati.beniculturali.it/mibact/luoghi/resource/City/Calangianus,Free Entry,1
