Library_ID,Library_Name,Library_City,Library_Region,Library_Latitude,Library_Longitude
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/113127,Biblioteca nazionale Marciana - Sale monumentali e Ridotti dei Procuratori,http://dati.beniculturali.it/mibact/luoghi/resource/City/Venezia,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,45.434067,12.334472
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/118181,Biblioteca Nazionale di Cosenza,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cosenza,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Calabria,39.288624,16.26098
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20546,Biblioteca Casanatense,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.898148,12.479639
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117300,Biblioteca Statale di Lucca,http://dati.beniculturali.it/mibact/luoghi/resource/City/Lucca,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.8449,10.501189
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117246,Biblioteca Riccardiana,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.77558,11.255349
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/110370,Biblioteca Medicea Laurenziana,http://dati.beniculturali.it/mibact/luoghi/resource/City/Firenze,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Toscana,43.774815,11.254537
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/118289,Biblioteca Statale del Monumento Nazionale di Trisulti,http://dati.beniculturali.it/mibact/luoghi/resource/City/Collepardo,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.76406,13.37067
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117729,Biblioteca Medica Statale di Roma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,0.040255,-0.010042
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116763,Biblioteca Universitaria di Padova,http://dati.beniculturali.it/mibact/luoghi/resource/City/Padova,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Veneto,45.40711,11.880526
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117389,Biblioteca statale di Macerata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Macerata,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Marche,43.30105,13.448922
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117127,Biblioteca Vallicelliana,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.898186,12.469432
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/118286,Biblioteca Statale del Monumento Nazionale di Santa Scolastica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Subiaco,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.925537,13.104736
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20007,Biblioteca Universitaria di Cagliari,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cagliari,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Sardegna,39.217236,9.115117
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/20547,Biblioteca Angelica,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.9007,12.474194
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117488,Biblioteca statale Antonio Baldini,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.91954,12.48609
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/118200,Biblioteca Statale del Monumento Nazionale di Montecassino,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cassino,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.490738,13.82541
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111278,Biblioteca statale di Cremona,http://dati.beniculturali.it/mibact/luoghi/resource/City/Cremona,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.138042,10.021977
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/111046,Biblioteca di storia moderna e contemporanea,http://dati.beniculturali.it/mibact/luoghi/resource/City/Roma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.894035,12.478293
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117596,Complesso monumentale della Pilotta - Biblioteca Palatina di Parma,http://dati.beniculturali.it/mibact/luoghi/resource/City/Parma,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Emilia-Romagna,44.80498,10.3259
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/117102,Biblioteca Statale Annessa al Monumento Nazionale di Grottaferrata,http://dati.beniculturali.it/mibact/luoghi/resource/City/Grottaferrata,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lazio,41.787067,12.667435
http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/116818,Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,http://dati.beniculturali.it/mibact/luoghi/resource/City/Milano,http://dati.beniculturali.it/mibact/luoghi/resource/Region/Lombardia,45.471947,9.187837
