Tavola 1 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi ,,,,,,,,,,,,Tavola 1 - Persone di 6 anni e più che hanno letto almeno un libro nel tempo libero nei 12 mesi,,,,,,,,,,,,,
"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2011",,,,,,,,,,,,"                   precedenti l'intervista per numero di libri letti, sesso e classe di età - Anno 2011",,,,,,,,,,,,,
                  (dati in migliaia),,,,,,,,,,,,                  (dati percentuali: per 100 persone di 6 anni e più dello stesso sesso e classe di età),,,,,,,,,,,,,
                                  ,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Popolazione
di 6 anni e più","Lettori di 6
anni e più",,NUMERO DI LIBRI LETTI,,,,,,,,CLASSI DI ETÀ,"Hanno
letto
libri (a)",,NUMERO DI LIBRI LETTI (a),,,,,NUMERO DI LIBRI LETTI (b),,,,,
,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,,,,,,,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",,"Da 1 a
3 libri","Da 4 a
6 libri","Da 7 a
11 libri"," 12 o più
libri",Totale,
,,,,,,,,,,,,,,,,,,,,,,,,,      
MASCHI,,,,,,,,,,,,MASCHI,,,,,,,,,,,,,      
,,,,,,,,,,,,,,,,,,,,,,,,,
,      ,      ,,      ,      ,      ,      ,,,,,,      ,,      ,      ,      ,      ,,      ,      ,      ,      ,      ,
MASCHI E FEMMINE,,,,,,,,,,,,MASCHI E FEMMINE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
06-10',"2,823","1,462",,711,380,221,151,,,,,06-10',51.8,,25.2,13.5,7.8,5.3,,48.6,26,15.1,10.3,100,
11-24',"2,270","1,407",,670,363,196,177,,,,,11-24',62,,29.5,16,8.6,7.8,,47.7,25.8,14,12.6,100,
15-17                                 ,"1,714","1,003",,453,302,126,121,,,,,15-17                                 ,58.5,,26.5,17.6,7.3,7.1,,45.2,30.1,12.6,12.1,100,
18-19                                 ,"1,243",668,,318,172,113,65,,,,,18-19                                 ,53.8,,25.6,13.8,9.1,5.3,,47.6,25.7,16.9,9.8,100,
20-24                                 ,"3,098","1,585",,750,440,262,133,,,,,20-24                                 ,51.2,,24.2,14.2,8.5,4.3,,47.3,27.8,16.5,8.4,100,
25-34                                 ,"7,364","3,580",,"1,665",908,603,404,,,,,25-34                                 ,48.6,,22.6,12.3,8.2,5.5,,46.5,25.4,16.9,11.3,100,
35-44                                 ,"9,832","4,894",,"2,311","1,216",736,632,,,,,35-44                                 ,49.8,,23.5,12.4,7.5,6.4,,47.2,24.8,15,12.9,100,
45-54                                 ,"8,856","4,265",,"1,797","1,098",720,650,,,,,45-54                                 ,48.2,,20.3,12.4,8.1,7.3,,42.1,25.7,16.9,15.2,100,
55-59                                 ,"3,777","1,724",,726,412,299,288,,,,,55-59                                 ,45.6,,19.2,10.9,7.9,7.6,,42.1,23.9,17.3,16.7,100,
60-64                                 ,"3,760","1,579",,669,383,235,291,,,,,60-64                                 ,42,,17.8,10.2,6.3,7.8,,42.4,24.3,14.9,18.5,100,
65-74                                 ,"6,270","2,221",,"1,032",503,280,407,,,,,65-74                                 ,35.4,,16.5,8,4.5,6.5,,46.4,22.6,12.6,18.3,100,
75 e più,"5,802","1,320",,630,285,175,230,,,,,75 e più,22.7,,10.9,4.9,3,4,,47.7,21.6,13.3,17.4,100,
Totale,"56,808","25,708",,"11,731","6,461","3,965","3,551",,,,,Totale,45.3,,20.7,11.4,7,6.3,,45.6,25.1,15.4,13.8,100,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,
,,,,,,,,,,,,(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,
