 PERSONE DI 6 ANNI E PIU' CHE HANNO LETTO ALMENO UN LIBRO NEL TEMPO LIBERO NEI 12 MESI ,
PRECEDENTI L'INTERVISTA PER CLASSE DI ETA',
"Anno 2010 , per 100 persone di 6 anni e più della stessa classe di età (dati percentuale)",
,
"CLASSI 
DI ETA'        ",2010
,
6-10',52.5
11-14',65.4
15-17   ,59.1
18-19   ,54.8
20-24   ,53
25-34   ,51.5
35-44   ,50.2
45-54   ,50.1
55-59   ,49.2
60-64   ,43.5
65-74   ,36.2
75+     ,22.9
Totale  ,46.8
